,,Place,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,Cities,La Canada Flintridge,0,0,0,0,3,0,0,0,3,0,"20,480"
California,Cities,Laguna Beach,2,0,0,0,0,0,1,0,1,0,"23,261"
California,Cities,La Habra,1,0,0,0,0,0,1,0,0,0,"61,878"
California,Cities,Lake Elsinore,0,1,0,0,0,0,0,0,1,0,"66,136"
California,Cities,Lakeport,0,0,1,0,0,0,0,1,0,0,"4,775"
California,Cities,Lakewood,7,0,0,0,0,0,1,1,4,1,"81,317"
California,Cities,La Mesa,1,0,1,0,0,0,0,0,2,0,"60,425"
California,Cities,Lancaster,5,0,2,0,0,0,2,2,2,1,"160,653"
California,Cities,Lemon Grove,1,0,0,0,0,0,0,0,0,1,"27,113"
California,Cities,Livermore,2,0,0,0,0,0,0,0,2,0,"90,485"
California,Cities,Lodi,1,0,0,0,0,0,0,0,1,0,"65,042"
California,Cities,Loma Linda,1,0,0,0,0,0,1,0,0,0,"24,265"
California,Cities,Lomita,1,0,0,0,0,0,0,0,0,1,"20,764"
California,Cities,Long Beach,8,3,6,0,0,0,7,3,5,2,"471,397"
California,Cities,Los Angeles,126,43,82,0,1,11,65,72,70,56,"4,007,147"
California,Cities,Los Gatos,0,1,0,0,0,0,1,0,0,0,"30,720"
California,Cities,Malibu,2,0,0,0,0,0,1,0,1,0,"12,918"
California,Cities,Manhattan Beach,0,0,1,0,0,0,0,0,0,1,"35,843"
California,Cities,Manteca,2,2,0,0,0,0,1,0,3,0,"78,564"
California,Cities,Martinez,2,4,0,1,0,0,0,2,5,0,"38,619"
California,Cities,Marysville,3,0,0,0,0,0,0,0,3,0,"12,275"
California,Cities,Menifee,1,0,0,0,0,0,0,0,0,1,"90,403"
California,Cities,Merced,1,0,0,0,0,0,0,0,0,1,"83,180"
California,Cities,Modesto,6,1,3,0,0,0,6,1,2,1,"213,677"
California,Cities,Monterey,1,0,1,0,0,0,0,0,2,0,"28,584"
California,Cities,Monterey Park,3,1,0,0,0,0,1,0,1,2,"61,210"
California,Cities,Moreno Valley,1,0,2,0,0,0,1,0,1,1,"207,418"
California,Cities,Murrieta,1,0,0,0,0,0,0,1,0,0,"113,016"
California,Cities,National City,1,0,0,0,0,0,1,0,0,0,"61,574"
California,Cities,Newark,2,1,0,0,0,0,0,2,1,0,"46,360"
California,Cities,Newport Beach,1,0,0,0,0,0,0,0,0,1,"86,910"
California,Cities,Norco,0,1,0,0,0,0,0,1,0,0,"26,654"
California,Cities,Norwalk,1,0,1,0,0,0,0,0,1,1,"106,278"
California,Cities,Novato,2,0,0,0,0,0,1,0,1,0,"56,698"
California,Cities,Oakland,9,7,2,0,0,0,8,4,4,2,"424,915"
California,Cities,Oceanside,4,1,1,0,0,0,1,1,3,1,"176,815"
California,Cities,Ontario,1,0,0,1,0,0,1,1,0,0,"174,724"
California,Cities,Orange,1,0,0,0,0,0,0,0,,1,"141,130"
California,Cities,Orland,1,0,0,0,0,0,0,1,0,0,"7,624"
California,Cities,Oxnard,2,4,1,0,0,0,0,2,5,0,"209,513"
California,Cities,Pacifica,1,0,1,0,0,0,1,0,1,0,"39,353"
California,Cities,Pacific Grove,0,1,0,0,0,0,0,1,0,0,"15,716"
California,Cities,Palmdale,3,0,0,0,0,0,2,1,0,0,"158,094"
California,Cities,Palm Springs,0,0,3,0,0,0,1,1,0,1,"48,193"
California,Cities,Palo Alto,2,3,0,0,0,0,4,0,1,0,"67,441"
California,Cities,Paradise,1,0,0,0,0,0,0,0,1,0,"26,610"
California,Cities,Pasadena,1,1,0,0,0,1,0,1,2,0,"142,891"
California,Cities,Petaluma,5,1,2,0,0,0,5,1,1,1,"60,957"
California,Cities,Pico Rivera,0,0,2,0,0,1,2,0,1,0,"63,746"
California,Cities,Piedmont,1,1,0,0,0,0,0,0,2,0,"11,464"
California,Cities,Placentia,1,0,0,0,0,0,0,1,0,0,"52,437"
California,Cities,Pleasant Hill,0,1,0,0,0,0,1,0,0,0,"35,136"
California,Cities,Pomona,1,1,1,0,0,0,0,2,1,0,"153,066"
California,Cities,Rancho Cordova,2,0,0,0,0,0,0,1,0,1,"73,607"
California,Cities,Red Bluff,0,0,1,0,0,0,0,0,0,1,"14,169"
California,Cities,Redding,11,0,4,0,0,0,4,3,5,3,"92,127"
California,Cities,Redlands,1,1,0,0,0,0,0,0,2,0,"71,707"
California,Cities,Redwood City,2,0,0,0,0,0,0,0,2,0,"86,353"
California,Cities,Reedley,0,1,0,0,0,0,0,0,0,1,"25,794"
California,Cities,Rialto,1,0,0,0,0,0,1,0,0,0,"103,980"
California,Cities,Richmond,3,0,2,0,0,0,1,0,2,2,"110,804"
California,Cities,Riverside,4,4,0,0,0,0,3,3,1,1,"328,023"
California,Cities,Roseville,12,6,1,0,0,0,7,6,5,1,"135,028"
California,Cities,Sacramento,2,2,0,0,0,1,1,2,1,1,"499,997"
California,Cities,Salinas,0,0,1,0,0,0,0,0,1,0,"158,313"
California,Cities,San Bernardino,4,0,4,0,0,0,4,2,2,0,"217,259"
California,Cities,San Clemente,1,0,0,0,0,0,0,1,0,0,"65,596"
